No.,Info,Time,Source,Destination,Protocol,Length
58876,Application Data,846.946658,13.35.90.177,192.168.1.207,TLSv1.2,12378
58877,39414  >  443 [ACK] Seq=206207 Ack=241202943 Win=67584 Len=0 TSval=170002 TSecr=534223991,846.947751,192.168.1.207,13.35.90.177,TCP,70
58878,39414  >  443 [ACK] Seq=206207 Ack=241205679 Win=88064 Len=0 TSval=170003 TSecr=534223991,846.947752,192.168.1.207,13.35.90.177,TCP,70
58879,39414  >  443 [ACK] Seq=206207 Ack=241233039 Win=61056 Len=0 TSval=170003 TSecr=534223991,846.948862,192.168.1.207,13.35.90.177,TCP,70
58880,"443  >  39414 [PSH, ACK] Seq=241245351 Ack=206207 Win=652288 Len=8024 TSval=534223998 TSecr=170002 [TCP segment of a reassembled PDU]",846.949771,13.35.90.177,192.168.1.207,TCP,8090
58881,Application Data,846.949772,13.35.90.177,192.168.1.207,TLSv1.2,4170
58882,"443  >  39414 [PSH, ACK] Seq=241257479 Ack=206207 Win=652288 Len=8208 TSval=534223998 TSecr=170002 [TCP segment of a reassembled PDU]",846.950203,13.35.90.177,192.168.1.207,TCP,8274
58883,39414  >  443 [ACK] Seq=206207 Ack=241245351 Win=48896 Len=0 TSval=170003 TSecr=534223995,846.950204,192.168.1.207,13.35.90.177,TCP,70
58884,Application Data,846.951668,13.35.90.177,192.168.1.207,TLSv1.2,12378
58885,443  >  39414 [ACK] Seq=241277999 Ack=206207 Win=652288 Len=5472 TSval=534224000 TSecr=170003 [TCP segment of a reassembled PDU],846.951894,13.35.90.177,192.168.1.207,TCP,5538
58886,Application Data,846.952427,13.35.90.177,192.168.1.207,TLSv1.2,6906
58887,Application Data,846.954027,192.168.1.81,54.235.156.79,TLSv1.2,550
58888,39414  >  443 [ACK] Seq=206207 Ack=241248087 Win=94720 Len=0 TSval=170004 TSecr=534223998,846.954028,192.168.1.207,13.35.90.177,TCP,70
58889,39414  >  443 [ACK] Seq=206207 Ack=241265687 Win=77184 Len=0 TSval=170004 TSecr=534223998,846.954028,192.168.1.207,13.35.90.177,TCP,70
58890,443  >  39414 [ACK] Seq=241290311 Ack=206207 Win=652288 Len=1368 TSval=534224002 TSecr=170003 [TCP segment of a reassembled PDU],846.954029,13.35.90.177,192.168.1.207,TCP,1434
58891,"443  >  39414 [PSH, ACK] Seq=241291679 Ack=206207 Win=652288 Len=2568 TSval=534224002 TSecr=170003 [TCP segment of a reassembled PDU]",846.954603,13.35.90.177,192.168.1.207,TCP,2634
58892,39414  >  443 [ACK] Seq=206207 Ack=241294247 Win=48896 Len=0 TSval=170005 TSecr=534224000,846.958127,192.168.1.207,13.35.90.177,TCP,70
58893,"443  >  39414 [PSH, ACK] Seq=241294247 Ack=206207 Win=652288 Len=12312 TSval=534224006 TSecr=170004 [TCP segment of a reassembled PDU]",846.958449,13.35.90.177,192.168.1.207,TCP,12378
58894,Application Data,846.958465,13.35.90.177,192.168.1.207,TLSv1.2,8274
58895,"443  >  39414 [PSH, ACK] Seq=241314767 Ack=206207 Win=652288 Len=2904 TSval=534224007 TSecr=170004 [TCP segment of a reassembled PDU]",846.958945,13.35.90.177,192.168.1.207,TCP,2970
58896,Application Data,846.959385,13.35.90.177,192.168.1.207,TLSv1.2,12378
