"No.","Info","Time","Source","Destination","Protocol","Length"
"1","8080  >  43581 [ACK] Seq=1 Ack=1 Win=2048 Len=0","0.000000","192.168.1.9","192.168.1.1","TCP","64"
"2","[TCP ACKed unseen segment] 43581  >  8080 [ACK] Seq=1 Ack=2 Win=123 Len=0 TSval=381211449 TSecr=1513884292","0.000001","192.168.1.1","192.168.1.9","TCP","66"
"3","49154  >  6667 Len=188","0.176962","192.168.1.183","255.255.255.255","UDP","234"
"4","57171  >  443 Len=29","0.414776","192.168.1.9","142.251.32.110","UDP","75"
"5","443  >  57171 Len=26","0.419812","142.251.32.110","192.168.1.9","UDP","68"
"6","ARP Announcement for 192.168.1.183","0.572075","Espressif_0a:94:2e","Broadcast","ARP","64"
"7","Who has 192.168.1.207? Tell 192.168.1.81","0.579308","PCSSystemtec_45:5c:08","Broadcast","ARP","64"
"8","51504  >  6666 Len=50","0.722877","192.168.1.172","230.0.0.1","UDP","96"
"9","58567  >  443 Len=129","0.966220","192.168.1.9","142.251.40.227","UDP","175"
"10","443  >  58567 Len=30","1.001897","142.251.40.227","192.168.1.9","UDP","72"
"11","58567  >  443 Len=33","1.012600","192.168.1.9","142.251.40.227","UDP","79"
"12","443  >  58567 Len=116","1.021102","142.251.40.227","192.168.1.9","UDP","158"
"13","443  >  58567 Len=23","1.021103","142.251.40.227","192.168.1.9","UDP","65"
"14","58567  >  443 Len=38","1.021147","192.168.1.9","142.251.40.227","UDP","84"
"15","58567  >  443 Len=33","1.037896","192.168.1.9","142.251.40.227","UDP","79"
"16","443  >  58567 Len=25","1.065782","142.251.40.227","192.168.1.9","UDP","67"
"17","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question","1.145930","192.168.1.172","224.0.0.251","MDNS","87"
"18","Standard query response 0x0000 PTR SilentSiggo::ACICSMOHAM2._oculusal_sp._tcp.local SRV 0 0 49730 ACICSMOHAM2.local TXT A 192.168.1.172 NSEC ACICSMOHAM2.local","1.146316","192.168.1.172","224.0.0.251","MDNS","327"
"19","RST. Root = 32768/0/18:e8:29:26:2d:de  Cost = 0  Port = 0x8031","1.295170","Ubiquiti_26:2d:df","Spanning-tree-(for-bridges)_00","STP","60"
"20","8080  >  43580 [ACK] Seq=1 Ack=1 Win=2048 Len=0","1.308564","192.168.1.9","192.168.1.1","TCP","64"
"21","[TCP ACKed unseen segment] 43580  >  8080 [ACK] Seq=1 Ack=2 Win=123 Len=0 TSval=381211580 TSecr=3162690194","1.308564","192.168.1.1","192.168.1.9","TCP","66"
"22","Who has 192.168.1.1? Tell 192.168.1.87","1.434839","CiscoMeraki_61:d0:cf","Ubiquiti_48:1b:02","ARP","64"
"23","192.168.1.1 is at 18:e8:29:48:1b:02","1.434841","Ubiquiti_48:1b:02","CiscoMeraki_61:d0:cf","ARP","60"
"24","Who has 192.168.1.207? Tell 192.168.1.81","1.603103","PCSSystemtec_45:5c:08","Broadcast","ARP","64"
"25","Who has 192.168.1.156? Tell 192.168.1.217","1.691493","Dell_ca:76:8b","Broadcast","ARP","64"
"26","51504  >  6666 Len=50","1.722837","192.168.1.172","230.0.0.1","UDP","96"
"27","58567  >  443 Len=129","1.950845","192.168.1.9","142.251.40.227","UDP","175"
"28","443  >  58567 Len=30","1.986478","142.251.40.227","192.168.1.9","UDP","72"
"29","443  >  58567 Len=116","2.004794","142.251.40.227","192.168.1.9","UDP","158"
"30","443  >  58567 Len=23","2.004795","142.251.40.227","192.168.1.9","UDP","65"
"31","58567  >  443 Len=38","2.004865","192.168.1.9","142.251.40.227","UDP","84"
"32","58567  >  443 Len=33","2.021931","192.168.1.9","142.251.40.227","UDP","79"
"33","443  >  58567 Len=25","2.049389","142.251.40.227","192.168.1.9","UDP","67"
"34","NOTIFY * HTTP/1.1 ","2.265876","192.168.1.81","239.255.255.250","SSDP","380"
"35","NOTIFY * HTTP/1.1 ","2.266278","fe80::6c34:3c16:9604:eae1","ff02::c","SSDP","409"
"36","Who has 192.168.1.207? Tell 192.168.1.81","2.626395","PCSSystemtec_45:5c:08","Broadcast","ARP","64"
"37","Standard query 0x39cf A win10.ipv6.microsoft.com","2.700054","192.168.1.211","192.168.1.1","DNS","88"
"38","Standard query response 0x39cf A win10.ipv6.microsoft.com A 0.0.0.0","2.702816","192.168.1.1","192.168.1.211","DNS","100"
"39","51504  >  6666 Len=50","2.723289","192.168.1.172","230.0.0.1","UDP","96"
"40","8080  >  43579 [ACK] Seq=1 Ack=1 Win=2048 Len=0","3.071499","192.168.1.9","192.168.1.1","TCP","64"
"41","[TCP ACKed unseen segment] 43579  >  8080 [ACK] Seq=1 Ack=2 Win=123 Len=0 TSval=381211756 TSecr=2089051424","3.071501","192.168.1.1","192.168.1.9","TCP","66"
"42","Application Data","3.240179","3.217.147.217","192.168.1.43","TLSv1.2","112"
"43","Application Data","3.242544","192.168.1.43","3.217.147.217","TLSv1.2","116"
"44","443  >  46126 [ACK] Seq=47 Ack=47 Win=849 Len=0 TSval=415174318 TSecr=570311543","3.252499","3.217.147.217","192.168.1.43","TCP","66"
"45","RST. Root = 32768/0/18:e8:29:26:2d:de  Cost = 0  Port = 0x8031","3.295293","Ubiquiti_26:2d:df","Spanning-tree-(for-bridges)_00","STP","60"
"46","Encrypted Alert","3.647482","44.198.128.47","192.168.1.172","TLSv1.2","85"
"47","443  >  60307 [FIN, ACK] Seq=32 Ack=1 Win=185 Len=0","3.647483","44.198.128.47","192.168.1.172","TCP","60"
"48","60307  >  443 [ACK] Seq=1 Ack=33 Win=510 Len=0","3.649216","192.168.1.172","44.198.128.47","TCP","64"
"49","51504  >  6666 Len=50","3.723426","192.168.1.172","230.0.0.1","UDP","96"
"50","51504  >  6666 Len=50","3.836090","192.168.1.172","230.0.0.1","UDP","92"
"51","58567  >  443 Len=131","3.966227","192.168.1.9","142.251.40.227","UDP","177"
"52","443  >  58567 Len=30","4.001919","142.251.40.227","192.168.1.9","UDP","72"
"53","443  >  58567 Len=116","4.020406","142.251.40.227","192.168.1.9","UDP","158"
"54","443  >  58567 Len=23","4.020407","142.251.40.227","192.168.1.9","UDP","65"
"55","58567  >  443 Len=38","4.020409","192.168.1.9","142.251.40.227","UDP","84"
"56","58567  >  443 Len=33","4.037623","192.168.1.9","142.251.40.227","UDP","79"
"57","443  >  58567 Len=25","4.064949","142.251.40.227","192.168.1.9","UDP","67"
"58","Who has 192.168.1.1? Tell 192.168.1.102","4.117710","Intel_de:95:7c","Ubiquiti_48:1b:02","ARP","64"
"59","192.168.1.1 is at 18:e8:29:48:1b:02","4.119098","Ubiquiti_48:1b:02","Intel_de:95:7c","ARP","60"
"60","Application Data","4.136098","192.168.1.81","3.33.190.236","TLSv1.2","1165"
"61","443  >  58486 [ACK] Seq=1 Ack=1096 Win=2016 Len=0 TSval=75226034 TSecr=123427479","4.140211","3.33.190.236","192.168.1.81","TCP","66"
"62","Application Data","4.171504","3.33.190.236","192.168.1.81","TLSv1.2","625"
