"No.","Info","Time","Source","Destination","Protocol","Length"
"9740","Standard query 0x6cf8 A ecs.office.com","2.453758","10.10.10.182","9.9.9.9","DNS","74"
"9742","Standard query response 0x6cf8 A ecs.office.com CNAME ecs.office.trafficmanager.net CNAME s-0005-office.config.skype.com CNAME ecs-office.s-0005.s-msedge.net CNAME s-0005.s-msedge.net A 52.113.194.132","2.465845","9.9.9.9","10.10.10.182","DNS","229"
"18666","Standard query 0x63a1 AAAA connectivitycheck.gstatic.com","5.468863","10.10.10.137","9.9.9.9","DNS","89"
"18684","Standard query 0xc278 A connectivitycheck.gstatic.com","5.471328","10.10.10.137","9.9.9.9","DNS","89"
"18730","Standard query response 0x63a1 AAAA connectivitycheck.gstatic.com AAAA 2607:f8b0:4012:825::2003","5.479531","9.9.9.9","10.10.10.137","DNS","117"
"18746","Standard query response 0xc278 A connectivitycheck.gstatic.com A 192.178.52.227","5.483380","9.9.9.9","10.10.10.137","DNS","105"
"22512","Standard query 0xb902 A login.microsoftonline.com","6.757654","10.10.10.182","9.9.9.9","DNS","85"
"22541","Standard query response 0xb902 A login.microsoftonline.com CNAME login.mso.msidentity.com CNAME ak.privatelink.msidentity.com CNAME www.tm.ak.prd.aadg.trafficmanager.net A 20.190.155.131 A 40.126.27.128 A 20.190.155.3 A 20.190.155.1 A 20.190.155.67 A 20.190.155.2 A 20.190.155.66 A 20.190.155.65","6.769443","9.9.9.9","10.10.10.182","DNS","328"
"24219","Standard query 0xd5a9 A p13n.adobe.io","7.390532","fe80::4d93:5845:e542:e5f8","fec0:0:0:ffff::1","DNS","93"
"24220","Destination Unreachable (Beyond scope of source address)","7.390532","fe80::c2ea:e4ff:fe1b:3a38","fe80::4d93:5845:e542:e5f8","ICMPv6","134"
"40750","Standard query 0x46aa A catalog.gamepass.com","12.825769","10.10.10.37","8.8.8.8","DNS","80"
"40753","Standard query response 0x46aa A catalog.gamepass.com CNAME catalog.gamepass.com.edgesuite.net CNAME a1992.dscd.akamai.net A 201.174.29.240 A 201.174.29.227","12.867456","8.8.8.8","10.10.10.37","DNS","192"
"42393","Standard query 0x394b A mobile.events.data.microsoft.com","13.353046","10.10.10.10","9.9.9.9","DNS","92"
"42515","Standard query response 0x394b A mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdcus20.centralus.cloudapp.azure.com A 104.208.16.95","13.365130","9.9.9.9","10.10.10.10","DNS","215"
"46305","Standard query 0xf21f A array602.prod.do.dsp.mp.microsoft.com","14.543770","10.10.10.2","9.9.9.9","DNS","97"
"46307","Standard query response 0xf21f A array602.prod.do.dsp.mp.microsoft.com A 20.191.46.211","14.555050","9.9.9.9","10.10.10.2","DNS","113"
"46322","Standard query 0xa72b A settings-win.data.microsoft.com","14.593648","10.10.10.32","9.9.9.9","DNS","91"
