"No.","Info","Time","Source","Destination","Protocol","Length"
"2542","Standard query 0xfb2b A www.google.com","2.238095","10.10.10.176","9.9.9.9","DNS","74"
"2543","Standard query 0xfc75 A gateway.icloud.com","2.238095","10.10.10.176","9.9.9.9","DNS","78"
"2544","Standard query 0x1825 HTTPS gsp85-ssl.ls.apple.com","2.238095","10.10.10.176","9.9.9.9","DNS","82"
"2545","Standard query 0xa16e A gsp85-ssl.ls.apple.com","2.238095","10.10.10.176","9.9.9.9","DNS","82"
"2546","Standard query 0x31d6 SVCB _dns.resolver.arpa","2.238095","10.10.10.176","9.9.9.9","DNS","78"
"2567","Standard query response 0xfb2b A www.google.com A 192.178.52.196","2.249858","9.9.9.9","10.10.10.176","DNS","90"
"2568","Standard query response 0x1825 HTTPS gsp85-ssl.ls.apple.com CNAME gsp85-ssl.ls2-apple.com.akadns.net SOA internal.akadns.net","2.249858","9.9.9.9","10.10.10.176","DNS","193"
"2569","Standard query response 0xfc75 A gateway.icloud.com CNAME gateway.fe2.apple-dns.net A 17.248.195.66 A 17.248.195.73 A 17.248.195.74 A 17.248.195.64 A 17.248.195.72","2.249858","9.9.9.9","10.10.10.176","DNS","197"
"2570","Standard query response 0xa16e A gsp85-ssl.ls.apple.com CNAME gsp85-ssl.ls2-apple.com.akadns.net A 17.57.12.34","2.249858","9.9.9.9","10.10.10.176","DNS","146"
"2571","Standard query response 0x31d6 SVCB _dns.resolver.arpa SVCB SVCB A 9.9.9.9 A 149.112.112.112 AAAA 2620:fe::fe","2.249858","9.9.9.9","10.10.10.176","DNS","320"
"2573","Standard query 0x7712 HTTPS gsp85-ssl.ls2-apple.com.akadns.net","2.255691","10.10.10.176","9.9.9.9","DNS","94"
"2606","Standard query response 0x7712 HTTPS gsp85-ssl.ls2-apple.com.akadns.net SOA internal.akadns.net","2.266102","9.9.9.9","10.10.10.176","DNS","160"
"2607","Standard query 0x3026 A dns.quad9.net","2.268024","10.10.10.176","9.9.9.9","DNS","73"
"2608","Standard query 0x59de HTTPS dns.quad9.net","2.268024","10.10.10.176","9.9.9.9","DNS","73"
"2609","Standard query 0x1991 SVCB _dns.resolver.arpa","2.269567","10.10.10.176","9.9.9.9","DNS","78"
"2611","Standard query response 0x3026 A dns.quad9.net A 149.112.112.112 A 9.9.9.9","2.279724","9.9.9.9","10.10.10.176","DNS","105"
"2612","Standard query response 0x59de HTTPS dns.quad9.net SOA admin1.sjc.rrdns.pch.net","2.279724","9.9.9.9","10.10.10.176","DNS","141"
"2613","Standard query response 0x1991 SVCB _dns.resolver.arpa SVCB SVCB A 9.9.9.9 A 149.112.112.112 AAAA 2620:fe::fe","2.280947","9.9.9.9","10.10.10.176","DNS","320"
"2827","Standard query 0xa0c9 A dns.google","2.498113","10.10.10.32","9.9.9.9","DNS","70"
"2828","Standard query 0x30f4 HTTPS dns.google","2.498113","10.10.10.32","9.9.9.9","DNS","70"
"2829","Standard query response 0xa0c9 A dns.google A 8.8.4.4 A 8.8.8.8","2.509933","9.9.9.9","10.10.10.32","DNS","102"
"2830","Standard query response 0x30f4 HTTPS dns.google SOA ns1.zdns.google","2.509933","9.9.9.9","10.10.10.32","DNS","146"
