Time,Source,Destination,Protocol,Length,Info,No.
1712228053.2604525,192.168.100.2,72.25.64.2,6,55,Ether / IP / TCP 192.168.100.2:50220 > 72.25.64.2:https A / Raw,0
1712228053.3264556,72.25.64.2,192.168.100.2,6,60,Ether / IP / TCP 72.25.64.2:https > 192.168.100.2:50220 A / Padding,1
1712228054.274443,192.168.100.2,224.0.0.251,17,86,"Ether / IP / UDP / DNS Qry ""b'_oculusal_sp_v2._tcp.local.'"" ",2
1712228054.2754426,192.168.100.2,224.0.0.251,17,83,"Ether / IP / UDP / DNS Qry ""b'_oculusal_sp._tcp.local.'"" ",3
1712228054.2764435,192.168.100.2,224.0.0.251,17,344,"Ether / IP / UDP / DNS Ans ""b'flaco::DESKTOP-RMG725S._oculusal_sp_v2._tcp.local.'"" ",4
1712228054.2774425,192.168.100.2,224.0.0.251,17,335,"Ether / IP / UDP / DNS Ans ""b'flaco::DESKTOP-RMG725S._oculusal_sp._tcp.local.'"" ",5
1712228054.7835426,192.168.100.2,40.79.141.154,6,66,Ether / IP / TCP 192.168.100.2:59268 > 40.79.141.154:https S,6
1712228054.9261265,40.79.141.154,192.168.100.2,6,66,Ether / IP / TCP 40.79.141.154:https > 192.168.100.2:59268 SA,7
1712228054.9271274,192.168.100.2,40.79.141.154,6,54,Ether / IP / TCP 192.168.100.2:59268 > 40.79.141.154:https A,8
1712228054.9271274,192.168.100.2,40.79.141.154,6,571,Ether / IP / TCP 192.168.100.2:59268 > 40.79.141.154:https PA / Raw,9
1712228055.0688858,40.79.141.154,192.168.100.2,6,153,Ether / IP / TCP 40.79.141.154:https > 192.168.100.2:59268 PA / Raw,10
1712228055.069842,192.168.100.2,40.79.141.154,6,491,Ether / IP / TCP 192.168.100.2:59268 > 40.79.141.154:https PA / Raw,11
1712228055.0950036,192.168.100.33,192.168.100.255,17,63,Ether / IP / UDP 192.168.100.33:34169 > 192.168.100.255:32412 / Raw,12
1712228055.2174213,40.79.141.154,192.168.100.2,6,1466,Ether / IP / TCP 40.79.141.154:https > 192.168.100.2:59268 A / Raw,13
1712228055.2195406,40.79.141.154,192.168.100.2,6,1466,Ether / IP / TCP 40.79.141.154:https > 192.168.100.2:59268 A / Raw,14
1712228055.2195406,192.168.100.2,40.79.141.154,6,54,Ether / IP / TCP 192.168.100.2:59268 > 40.79.141.154:https A,15
1712228055.2200713,40.79.141.154,192.168.100.2,6,1466,Ether / IP / TCP 40.79.141.154:https > 192.168.100.2:59268 A / Raw,16
1712228055.2206013,40.79.141.154,192.168.100.2,6,349,Ether / IP / TCP 40.79.141.154:https > 192.168.100.2:59268 PA / Raw,17
1712228055.2211258,192.168.100.2,40.79.141.154,6,54,Ether / IP / TCP 192.168.100.2:59268 > 40.79.141.154:https A,18
1712228055.221655,192.168.100.2,40.79.141.154,6,7655,Ether / IP / TCP 192.168.100.2:59268 > 40.79.141.154:https PA / Raw,19
1712228055.3606505,40.79.141.154,192.168.100.2,6,60,Ether / IP / TCP 40.79.141.154:https > 192.168.100.2:59268 A / Padding,20
1712228055.3656204,40.79.141.154,192.168.100.2,6,60,Ether / IP / TCP 40.79.141.154:https > 192.168.100.2:59268 A / Padding,21
1712228055.3656204,40.79.141.154,192.168.100.2,6,157,Ether / IP / TCP 40.79.141.154:https > 192.168.100.2:59268 PA / Raw,22
1712228055.3716316,40.79.141.154,192.168.100.2,6,518,Ether / IP / TCP 40.79.141.154:https > 192.168.100.2:59268 FPA / Raw,23
1712228055.3716316,192.168.100.2,40.79.141.154,6,54,Ether / IP / TCP 192.168.100.2:59268 > 40.79.141.154:https A,24
