Time,Source,Destination,Length
1.183043,1010109,9999,89
1.192994,9999,1010109,224
2.984566,1010109,9999,84
2.995903,9999,1010109,231
3.632943,1010109,9999,77
3.6443,9999,1010109,144
3.76729,1010109,9999,86
3.8027,1010109,8888,86
3.818021,8888,1010109,129
3.901164,1010109,9999,83
3.932521,9999,1010109,129
3.937183,1010109,8888,83
3.948293,9999,1010109,133
3.956316,8888,1010109,133
12.807813,1010109,9999,86
12.807813,1010109,9999,86
12.819585,9999,1010109,197
12.819585,9999,1010109,229
18.593001,101010118,9999,92
18.604585,9999,101010118,215
21.246759,10101050,9999,102
21.259976,9999,10101050,102
25.02688,1010109,1111,91
25.02688,1010109,1111,91
25.073477,1111,1010109,257
25.073477,1111,1010109,212
38.259392,101010162,9999,99
38.261339,101010162,9999,99
38.273166,9999,101010162,233
38.276511,9999,101010162,295
39.368167,101010162,9999,91
39.368167,101010162,9999,91
39.380196,9999,101010162,267
39.434821,9999,101010162,308
47.337822,1010109,9999,76
47.349567,9999,1010109,151
47.3609,1010109,9999,96
47.371659,9999,1010109,112
52.556743,101010118,9999,96
52.569263,9999,101010118,112
56.757139,101010136,9999,77
56.769342,9999,101010136,245
56.769342,101010136,9999,77
56.78168,9999,101010136,221
57.805598,10101046,9999,73
57.817469,9999,10101046,141
58.019217,101010100,9999,74
58.021794,101010100,8888,74
58.023371,101010100,1111,74
58.03025,9999,101010100,90
58.036715,8888,101010100,90
58.041904,101010100,8888,118
58.069483,1111,101010100,90
58.074558,101010100,1111,118
73.435247,101010162,9999,74
73.440362,101010162,9999,74
73.446629,9999,101010162,125
73.452446,9999,101010162,113
79.105271,101010118,8888,70
79.105271,101010118,8888,70
79.122254,8888,101010118,102
79.126603,8888,101010118,146
81.690826,101010118,9999,85
81.701976,9999,101010118,320
82.970736,101010154,9999,70
82.970994,101010154,9999,70
82.971917,101010154,9999,70
82.971917,101010154,9999,70
82.983741,9999,101010154,102
82.983741,9999,101010154,102
82.983741,9999,101010154,146
82.983741,9999,101010154,146
121.787167,101010136,9999,77
121.798938,9999,101010136,245
121.798938,101010136,9999,77
121.811069,9999,101010136,221
123.96207,101010118,9999,74
123.973143,9999,101010118,179
124.162897,101010118,9999,74
124.174598,9999,101010118,179
124.5361,101010118,9999,83
124.547241,9999,101010118,292
125.95975,1010109,9999,76
125.95975,1010109,9999,76
125.972411,9999,1010109,151
125.972411,9999,1010109,151
125.98912,1010109,8888,76
125.98912,1010109,8888,76
126.026618,8888,1010109,151
126.029422,8888,1010109,151
127.726196,1010109,9999,123
127.73819,9999,1010109,198
127.743552,1010109,9999,92
127.754515,9999,1010109,167
127.757158,1010109,9999,134
127.768166,9999,1010109,209
127.800741,1010109,8888,134
127.846383,8888,1010109,209
135.484624,1010109,9999,76
135.495806,9999,1010109,151
142.000031,101010154,9999,70
142.000266,101010154,9999,70
142.001227,101010154,9999,70
142.001227,101010154,9999,70
142.013152,9999,101010154,102
142.013152,9999,101010154,102
142.013152,9999,101010154,146
142.013152,9999,101010154,146
159.842645,101010177,9999,123
159.854367,9999,101010177,198
159.85844,101010177,9999,92
159.868834,9999,101010177,167
159.872236,101010177,9999,134
159.88998,9999,101010177,209
160.551082,1010109,9999,89
160.561936,9999,1010109,226
162.20589,1010109,8888,89
162.20589,1010109,8888,89
162.247176,8888,1010109,146
162.247176,8888,1010109,105
165.863874,1010109,9999,87
165.875174,9999,1010109,257
169.367867,1010109,9999,76
169.378835,9999,1010109,151
169.386822,1010109,9999,99
169.403006,9999,1010109,115
172.951876,101010177,9999,89
172.951876,101010177,9999,89
172.96381,9999,101010177,105
172.96381,9999,101010177,146
173.656992,101010177,9999,86
173.684772,101010177,8888,86
173.700435,8888,101010177,129
173.821954,9999,101010177,129
173.824321,101010177,9999,157
179.535355,101010177,9999,91
179.546898,9999,101010177,213
181.569456,101010154,9999,70
181.569684,101010154,9999,70
181.570638,101010154,9999,70
181.570638,101010154,9999,70
181.582325,9999,101010154,102
181.582325,9999,101010154,102
181.582325,9999,101010154,146
181.582325,9999,101010154,146
184.819219,101010118,9999,85
184.819219,101010118,9999,85
184.831354,9999,101010118,158
184.831354,9999,101010118,117
186.824443,101010136,9999,77
186.836623,9999,101010136,245
186.836623,101010136,9999,77
186.848677,9999,101010136,221
188.442981,101010177,9999,89
188.454873,9999,101010177,229
202.585051,101010177,9999,91
202.585051,101010177,9999,91
202.596685,9999,101010177,210
202.596685,9999,101010177,258
207.226192,101010118,8888,70
207.226192,101010118,8888,70
207.241473,8888,101010118,146
207.247044,8888,101010118,102
232.160355,101010100,9999,82
232.162405,101010100,8888,82
232.16406,101010100,1111,82
232.166419,101010100,9999,82
232.168161,101010100,9999,82
232.172057,9999,101010100,146
232.178882,8888,101010100,146
232.180324,9999,101010100,136
232.183741,101010100,8888,174
232.204938,9999,101010100,136
232.209247,1111,101010100,146
232.233974,101010100,1111,174
244.720883,1010109,9999,92
244.732577,9999,1010109,212
251.905618,101010136,9999,77
251.917309,9999,101010136,245
251.917309,101010136,9999,77
251.929885,9999,101010136,221
265.501236,101010177,9999,76
265.501236,101010177,9999,76
265.512947,9999,101010177,151
265.512947,9999,101010177,151
268.958246,101010100,9999,74
268.968395,101010100,8888,74
268.970057,9999,101010100,90
268.980293,101010100,1111,74
268.983456,8888,101010100,90
269.018854,1111,101010100,90
286.500403,101010118,9999,87
286.512071,9999,101010118,293
296.992014,101010136,9999,82
297.031038,9999,101010136,110
297.031038,101010136,9999,82
297.043753,9999,101010136,130
298.998997,101010100,9999,74
299.010828,9999,101010100,90
299.013759,101010100,8888,74
299.017496,101010100,1111,74
299.02768,8888,101010100,90
299.063597,1111,101010100,90
302.987631,101010136,9999,82
303.000103,9999,101010136,110
303.000103,101010136,9999,82
303.012309,9999,101010136,130
310.527807,1010109,9999,89
310.53976,9999,1010109,229
312.759621,101010100,9999,81
312.761219,101010100,8888,81
312.763667,101010100,1111,81
312.771481,9999,101010100,244
312.775291,101010100,9999,81
312.787487,9999,101010100,244
312.801802,8888,101010100,244
312.808691,101010100,8888,272
312.808691,1111,101010100,244
312.816481,101010100,1111,272
316.962341,101010136,9999,77
316.974618,9999,101010136,245
316.974618,101010136,9999,77
316.986743,9999,101010136,221
318.912532,1010109,9999,123
318.923596,9999,1010109,198
318.926612,1010109,9999,92
318.937346,9999,1010109,167
318.940812,1010109,9999,134
318.951519,9999,1010109,209
334.055513,101010100,9999,74
334.057052,101010100,8888,74
334.058501,101010100,1111,74
334.067629,9999,101010100,90
334.072086,8888,101010100,90
334.096817,1111,101010100,90
335.807527,101010118,9999,85
335.819325,9999,101010118,320
335.841853,101010118,8888,85
335.863988,8888,101010118,328
346.885733,1010109,9999,84
346.897233,9999,1010109,159
349.538809,101010162,9999,82
349.538809,101010162,9999,82
349.550718,9999,101010162,139
349.550718,9999,101010162,127
380.706824,101010100,9999,74
380.708566,101010100,8888,74
380.710018,101010100,1111,74
380.718083,9999,101010100,90
380.728941,8888,101010100,90
380.748165,1111,101010100,90
382.244445,101010136,9999,77
382.256175,9999,101010136,245
382.256175,101010136,9999,77
382.268284,9999,101010136,221
383.47809,101010177,9999,96
383.490035,9999,101010177,112
383.757262,101010177,9999,76
383.768036,9999,101010177,151
422.743541,1010109,1111,78
422.744647,1010109,1111,78
422.782054,1111,1010109,181
422.782054,1111,1010109,182
425.12932,101010162,9999,83
425.12932,101010162,9999,83
425.141202,9999,101010162,143
425.141202,9999,101010162,131
