"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.30.48.1","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"2","0.061972","172.30.48.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"3","0.062352","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"4","0.062467","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"5","0.062667","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"6","0.168783","172.30.48.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"7","2.015508","172.30.48.1","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"8","2.060440","172.30.48.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"9","2.060761","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"10","2.060867","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"11","2.061087","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"12","4.023316","172.30.48.1","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"13","4.065843","172.30.48.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"14","4.066235","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"15","4.066333","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"16","4.066520","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"17","6.032992","172.30.48.1","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"18","6.061335","172.30.48.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"19","6.061774","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"20","6.061961","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"21","6.062394","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"22","8.031647","172.30.48.1","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"23","8.079667","172.30.48.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"24","8.080830","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"25","8.081027","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"26","8.081296","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"27","10.033660","172.30.48.1","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
