"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","PCSSystemtec_45:5c:08","Broadcast","ARP","64","Who has 192.168.1.207? Tell 192.168.1.81"
"2","0.094997","ASUSTekCOMPU_29:4c:fe","Broadcast","ARP","64","Who has 192.168.1.156? Tell 192.168.1.216"
"3","0.162274","192.168.1.172","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question"
"4","0.162799","192.168.1.172","224.0.0.251","MDNS","327","Standard query response 0x0000 PTR SilentSiggo::ACICSMOHAM2._oculusal_sp._tcp.local SRV 0 0 49730 ACICSMOHAM2.local TXT A 192.168.1.172 NSEC ACICSMOHAM2.local"
"5","0.227164","192.168.1.183","255.255.255.255","UDP","234","49154  >  6667 Len=188"
"6","0.285741","192.168.1.172","230.0.0.1","UDP","96","51504  >  6666 Len=50"
"7","0.336855","192.168.1.9","142.251.35.163","UDP","160","49313  >  443 Len=114"
"8","0.344266","142.251.35.163","192.168.1.9","UDP","70","443  >  49313 Len=28"
"9","0.346476","192.168.1.9","142.251.35.163","UDP","79","49313  >  443 Len=33"
"10","0.359045","142.251.35.163","192.168.1.9","UDP","158","443  >  49313 Len=116"
"11","0.359045","192.168.1.9","142.251.35.163","UDP","82","49313  >  443 Len=36"
"12","0.359090","142.251.35.163","192.168.1.9","UDP","65","443  >  49313 Len=23"
"13","0.361930","192.168.1.9","142.251.35.163","UDP","79","49313  >  443 Len=33"
"14","0.390938","142.251.35.163","192.168.1.9","UDP","67","443  >  49313 Len=25"
"15","0.426683","158.115.141.166","192.168.1.87","SIGCOMP","175","Msg format 1"
"16","0.444420","192.168.1.87","158.115.141.166","SIGCOMP","293","Msg format 1"
"17","0.483113","192.168.1.9","152.199.4.33","TCP","64","65279  >  443 [ACK] Seq=1 Ack=1 Win=2048 Len=0"
"18","0.486424","152.199.4.33","192.168.1.9","TCP","66","[TCP ACKed unseen segment] 443  >  65279 [ACK] Seq=1 Ack=2 Win=136 Len=0 TSval=1075566513 TSecr=206937302"
"19","0.640377","PCSSystemtec_45:5c:08","Broadcast","ARP","64","Who has 192.168.1.6? Tell 192.168.1.81"
"20","0.716479","Espressif_0a:94:2e","Broadcast","ARP","64","ARP Announcement for 192.168.1.183"
"21","0.744087","192.168.1.1","192.168.1.9","CLASSIC-STUN","70","Message: Binding Request"
"22","0.746440","192.168.1.9","192.168.1.1","CLASSIC-STUN","102","Message: Binding Response"
"23","0.801149","192.168.1.9","142.251.35.163","UDP","160","49313  >  443 Len=114"
"24","0.808839","142.251.35.163","192.168.1.9","UDP","70","443  >  49313 Len=28"
"25","0.820014","192.168.1.9","142.251.35.163","UDP","79","49313  >  443 Len=33"
"26","0.823842","142.251.35.163","192.168.1.9","UDP","158","443  >  49313 Len=116"
"27","0.823842","142.251.35.163","192.168.1.9","UDP","65","443  >  49313 Len=23"
"28","0.823842","192.168.1.9","142.251.35.163","UDP","82","49313  >  443 Len=36"
"29","0.825953","192.168.1.9","142.251.35.163","UDP","79","49313  >  443 Len=33"
"30","0.857194","142.251.35.163","192.168.1.9","UDP","67","443  >  49313 Len=25"
"31","0.919383","RivetNetwork_22:6a:41","Ubiquiti_48:1b:02","ARP","64","192.168.1.26 is at 9c:b6:d0:22:6a:41"
"32","0.929148","RivetNetwork_22:6a:41","Ubiquiti_48:1b:02","ARP","64","192.168.1.25 is at 9c:b6:d0:22:6a:41"
"33","0.939349","RivetNetwork_22:6a:41","Ubiquiti_48:1b:02","ARP","64","192.168.1.21 is at 9c:b6:d0:22:6a:41"
"34","1.024611","PCSSystemtec_45:5c:08","Broadcast","ARP","64","Who has 192.168.1.207? Tell 192.168.1.81"
"35","1.286112","192.168.1.172","230.0.0.1","UDP","96","51504  >  6666 Len=50"
"36","1.305238","192.168.1.48","34.107.221.82","TCP","70","36452  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2640049898 TSecr=893435866"
"37","1.305238","192.168.1.48","34.107.221.82","TCP","70","36454  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2640049900 TSecr=2653858832"
"38","1.317187","192.168.1.9","142.251.35.163","UDP","159","49313  >  443 Len=113"
"39","1.324228","142.251.35.163","192.168.1.9","UDP","70","443  >  49313 Len=28"
"40","1.329526","Ubiquiti_26:2d:df","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/18:e8:29:26:2d:de  Cost = 0  Port = 0x8031"
"41","1.330569","192.168.1.9","142.251.35.163","UDP","79","49313  >  443 Len=33"
"42","1.337954","142.251.35.163","192.168.1.9","UDP","129","443  >  49313 Len=87"
"43","1.337954","142.251.35.163","192.168.1.9","UDP","65","443  >  49313 Len=23"
"44","1.337954","192.168.1.9","142.251.35.163","UDP","82","49313  >  443 Len=36"
"45","1.340118","192.168.1.9","142.251.35.163","UDP","79","49313  >  443 Len=33"
"46","1.343350","34.107.221.82","192.168.1.48","TCP","66","[TCP ACKed unseen segment] 80  >  36452 [ACK] Seq=1 Ack=2 Win=298 Len=0 TSval=893446108 TSecr=2640029459"
"47","1.343631","34.107.221.82","192.168.1.48","TCP","66","[TCP ACKed unseen segment] 80  >  36454 [ACK] Seq=1 Ack=2 Win=332 Len=0 TSval=2653869074 TSecr=2640029554"
"48","1.346789","142.251.35.163","192.168.1.9","UDP","66","443  >  49313 Len=24"
"49","1.664002","PCSSystemtec_45:5c:08","Broadcast","ARP","64","Who has 192.168.1.6? Tell 192.168.1.81"
"50","1.825476","192.168.1.81","3.33.190.236","TLSv1.2","1165","Application Data"
"51","1.863927","3.33.190.236","192.168.1.81","TLSv1.2","625","Application Data"
"52","1.864307","192.168.1.81","3.33.190.236","TCP","70","37554  >  443 [ACK] Seq=1096 Ack=560 Win=501 Len=0 TSval=133205178 TSecr=79439510"
"53","1.975288","192.168.1.9","142.251.41.14","UDP","75","58693  >  443 Len=29"
"54","1.980204","142.251.41.14","192.168.1.9","UDP","67","443  >  58693 Len=25"
"55","2.047631","PCSSystemtec_45:5c:08","Broadcast","ARP","64","Who has 192.168.1.207? Tell 192.168.1.81"
"56","2.097858","CiscoMeraki_61:d0:cf","Ubiquiti_48:1b:02","ARP","64","Who has 192.168.1.1? Tell 192.168.1.87"
"57","2.097859","Ubiquiti_48:1b:02","CiscoMeraki_61:d0:cf","ARP","60","192.168.1.1 is at 18:e8:29:48:1b:02"
"58","2.174671","192.168.1.172","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question"
"59","2.174899","192.168.1.172","224.0.0.251","MDNS","327","Standard query response 0x0000 PTR SilentSiggo::ACICSMOHAM2._oculusal_sp._tcp.local SRV 0 0 49730 ACICSMOHAM2.local TXT A 192.168.1.172 NSEC ACICSMOHAM2.local"
"60","2.287015","192.168.1.172","230.0.0.1","UDP","96","51504  >  6666 Len=50"
"61","2.459929","192.168.1.7","3.13.125.160","TLSv1.2","510","Application Data"
"62","2.479074","3.13.125.160","192.168.1.7","TLSv1.2","105","Application Data"
"63","2.479074","192.168.1.7","3.13.125.160","TCP","70","52270  >  443 [ACK] Seq=441 Ack=40 Win=608 Len=0 TSval=69757122 TSecr=3444617455"
"64","2.496638","192.168.1.7","3.13.125.160","TLSv1.2","507","Application Data"
"65","2.515288","3.13.125.160","192.168.1.7","TLSv1.2","105","Application Data"
"66","2.561170","192.168.1.7","3.13.125.160","TCP","70","52270  >  443 [ACK] Seq=878 Ack=79 Win=608 Len=0 TSval=69757131 TSecr=3444617491"
"67","2.563124","52.23.140.126","192.168.1.81","SSL","98","Continuation Data"
"68","2.563124","52.23.140.126","192.168.1.81","SSL","398","Continuation Data"
"69","2.563792","192.168.1.81","52.23.140.126","TCP","70","42044  >  443 [ACK] Seq=1 Ack=365 Win=501 Len=0 TSval=3384338754 TSecr=2363421287"
"70","2.572495","192.168.1.81","52.23.140.126","SSL","2806","Continuation Data"
"71","2.572495","192.168.1.81","52.23.140.126","SSL","1462","Continuation Data"
"72","2.577018","192.168.1.81","52.23.140.126","SSL","446","Continuation Data"
"73","2.581311","52.23.140.126","192.168.1.81","SSL","98","Continuation Data"
"74","2.582178","52.23.140.126","192.168.1.81","TCP","66","443  >  42044 [ACK] Seq=397 Ack=1369 Win=442 Len=0 TSval=2363421307 TSecr=3384338763"
"75","2.582178","52.23.140.126","192.168.1.81","TCP","66","443  >  42044 [ACK] Seq=397 Ack=2737 Win=442 Len=0 TSval=2363421307 TSecr=3384338763"
"76","2.582214","52.23.140.126","192.168.1.81","TCP","66","443  >  42044 [ACK] Seq=397 Ack=4129 Win=442 Len=0 TSval=2363421307 TSecr=3384338763"
"77","2.586689","52.23.140.126","192.168.1.81","TCP","66","443  >  42044 [ACK] Seq=397 Ack=4505 Win=442 Len=0 TSval=2363421311 TSecr=3384338767"
"78","2.598801","52.23.140.126","192.168.1.81","SSL","191","Continuation Data"
"79","2.599476","192.168.1.81","52.23.140.126","TCP","70","42044  >  443 [ACK] Seq=4505 Ack=522 Win=501 Len=0 TSval=3384338790 TSecr=2363421306"
"80","2.603910","192.168.1.81","52.23.140.126","SSL","153","Continuation Data"
"81","2.624806","52.23.140.126","192.168.1.81","SSL","1546","Continuation Data"
"82","2.624806","52.23.140.126","192.168.1.81","SSL","1511","Continuation Data"
"83","2.625641","192.168.1.81","52.23.140.126","TCP","70","42044  >  443 [ACK] Seq=4588 Ack=3447 Win=501 Len=0 TSval=3384338816 TSecr=2363421349"
"84","2.635032","18.197.213.150","192.168.1.9","TCP","66","80  >  55704 [ACK] Seq=1 Ack=1 Win=442 Len=0 TSval=4122310984 TSecr=2174529467"
"85","2.635032","192.168.1.9","18.197.213.150","TCP","70","[TCP ACKed unseen segment] 55704  >  80 [ACK] Seq=1 Ack=2 Win=2048 Len=0 TSval=2174544572 TSecr=4118700384"
"86","2.636305","192.168.1.81","52.23.140.126","SSL","402","Continuation Data"
"87","2.687793","PCSSystemtec_45:5c:08","Broadcast","ARP","64","Who has 192.168.1.6? Tell 192.168.1.81"
"88","2.689057","52.23.140.126","192.168.1.81","TCP","66","443  >  42044 [ACK] Seq=3447 Ack=4920 Win=442 Len=0 TSval=2363421414 TSecr=3384338827"
"89","2.716418","192.168.1.172","224.0.0.251","MDNS","110","Standard query 0x0000 PTR _ndi._tcp.local, ""QM"" question OPT"
"90","2.862054","192.168.1.9","192.168.1.1","TCP","64","8080  >  43935 [ACK] Seq=1 Ack=1 Win=2048 Len=0"
"91","2.862055","192.168.1.1","192.168.1.9","TCP","66","[TCP ACKed unseen segment] 43935  >  8080 [ACK] Seq=1 Ack=2 Win=123 Len=0 TSval=382189731 TSecr=4160970658"
"92","2.947862","192.168.1.81","239.255.255.250","SSDP","371","NOTIFY * HTTP/1.1 "
"93","2.947934","fe80::6c34:3c16:9604:eae1","ff02::c","SSDP","400","NOTIFY * HTTP/1.1 "
"94","3.071193","PCSSystemtec_45:5c:08","Broadcast","ARP","64","Who has 192.168.1.207? Tell 192.168.1.81"
"95","3.287132","192.168.1.172","230.0.0.1","UDP","96","51504  >  6666 Len=50"
"96","3.325689","192.168.1.9","142.251.35.163","UDP","160","49313  >  443 Len=114"
"97","3.328337","Ubiquiti_26:2d:df","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/18:e8:29:26:2d:de  Cost = 0  Port = 0x8031"
"98","3.333008","142.251.35.163","192.168.1.9","UDP","70","443  >  49313 Len=28"
"99","3.339014","192.168.1.9","142.251.35.163","UDP","79","49313  >  443 Len=33"
"100","3.347771","142.251.35.163","192.168.1.9","UDP","158","443  >  49313 Len=116"
"101","3.347772","142.251.35.163","192.168.1.9","UDP","65","443  >  49313 Len=23"
"102","3.347772","192.168.1.9","142.251.35.163","UDP","82","49313  >  443 Len=36"
"103","3.349765","192.168.1.9","142.251.35.163","UDP","79","49313  >  443 Len=33"
"104","3.357469","142.251.35.163","192.168.1.9","UDP","67","443  >  49313 Len=25"
"105","3.395271","192.168.1.9","192.168.1.1","TCP","64","8080  >  43944 [ACK] Seq=1 Ack=1 Win=2048 Len=0"
"106","3.395271","192.168.1.1","192.168.1.9","TCP","66","[TCP ACKed unseen segment] 43944  >  8080 [ACK] Seq=1 Ack=2 Win=123 Len=0 TSval=382189784 TSecr=1059262564"
"107","3.711114","PCSSystemtec_45:5c:08","Broadcast","ARP","64","Who has 192.168.1.6? Tell 192.168.1.81"
"108","3.823211","192.168.1.9","142.251.35.163","UDP","159","49313  >  443 Len=113"
"109","3.830610","142.251.35.163","192.168.1.9","UDP","70","443  >  49313 Len=28"
"110","3.834861","192.168.1.9","142.251.35.163","UDP","79","49313  >  443 Len=33"
"111","3.839233","PhilipsLight_a1:0e:b0","Ubiquiti_48:1b:02","ARP","64","Who has 192.168.1.1? Tell 192.168.1.11"
"112","3.839233","Ubiquiti_48:1b:02","PhilipsLight_a1:0e:b0","ARP","60","192.168.1.1 is at 18:e8:29:48:1b:02"
"113","3.848313","142.251.35.163","192.168.1.9","UDP","158","443  >  49313 Len=116"
"114","3.848313","192.168.1.9","142.251.35.163","UDP","82","49313  >  443 Len=36"
"115","3.849456","142.251.35.163","192.168.1.9","UDP","65","443  >  49313 Len=23"
"116","3.857422","142.251.35.163","192.168.1.9","UDP","67","443  >  49313 Len=25"
"117","3.857649","192.168.1.9","142.251.35.163","UDP","78","49313  >  443 Len=32"
"118","4.094964","PCSSystemtec_45:5c:08","Broadcast","ARP","64","Who has 192.168.1.207? Tell 192.168.1.81"
"119","4.287817","192.168.1.172","230.0.0.1","UDP","96","51504  >  6666 Len=50"
"120","4.332084","192.168.1.9","142.251.35.163","UDP","160","49313  >  443 Len=114"
"121","4.339449","142.251.35.163","192.168.1.9","UDP","70","443  >  49313 Len=28"
"122","4.346561","192.168.1.9","142.251.35.163","UDP","79","49313  >  443 Len=33"
"123","4.354358","142.251.35.163","192.168.1.9","UDP","129","443  >  49313 Len=87"
"124","4.354358","142.251.35.163","192.168.1.9","UDP","65","443  >  49313 Len=23"
"125","4.354676","192.168.1.9","142.251.35.163","UDP","82","49313  >  443 Len=36"
"126","4.356765","192.168.1.9","142.251.35.163","UDP","79","49313  >  443 Len=33"
"127","4.363171","142.251.35.163","192.168.1.9","UDP","67","443  >  49313 Len=25"
"128","4.735053","PCSSystemtec_45:5c:08","Broadcast","ARP","64","Who has 192.168.1.6? Tell 192.168.1.81"
"129","4.765963","192.168.1.172","157.240.241.55","TLSv1.2","525","Application Data"
"130","4.788984","157.240.241.55","192.168.1.172","TLSv1.2","145","Application Data"
"131","4.791099","192.168.1.172","157.240.241.55","TLSv1.2","901","Application Data"
"132","4.791100","192.168.1.172","157.240.241.55","TLSv1.2","92","Application Data"
"133","4.794588","157.240.241.55","192.168.1.172","TCP","60","443  >  55303 [ACK] Seq=92 Ack=1345 Win=715 Len=0"
"134","4.854363","157.240.241.55","192.168.1.172","TCP","1434","443  >  55303 [ACK] Seq=92 Ack=1345 Win=715 Len=1380 [TCP segment of a reassembled PDU]"
"135","4.854583","157.240.241.55","192.168.1.172","TLSv1.2","1545","Application Data, Application Data"
"136","4.854805","157.240.241.55","192.168.1.172","TLSv1.2","341","Application Data"
"137","4.860029","192.168.1.172","157.240.241.55","TCP","64","55303  >  443 [ACK] Seq=1345 Ack=3250 Win=512 Len=0"
"138","5.181626","192.168.1.102","239.255.255.250","SSDP","221","M-SEARCH * HTTP/1.1 "
"139","5.231942","192.168.1.183","255.255.255.255","UDP","234","49154  >  6667 Len=188"
"140","5.288094","192.168.1.172","230.0.0.1","UDP","96","51504  >  6666 Len=50"
"141","5.329874","192.168.1.43","54.234.240.68","TLSv1.2","103","Application Data"
"142","5.333047","Ubiquiti_26:2d:df","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/18:e8:29:26:2d:de  Cost = 0  Port = 0x8031"
"143","5.340169","54.234.240.68","192.168.1.43","TLSv1.2","97","Application Data"
"144","5.342520","192.168.1.43","54.234.240.68","TCP","70","38418  >  443 [ACK] Seq=34 Ack=32 Win=1426 Len=0 TSval=572757056 TSecr=1536391868"
